Index;A;B;C;D;E;F;G;H;I;J
1;19,8;19,8;19,9;20,1;20,0;19,9;19,9;19,9;19,8;19,6
2;19,7;19,8;19,8;20,1;20,0;20,0;20,0;19,8;19,7;19,6
3;19,7;19,9;19,9;20,1;20,1;20,0;20,0;19,6;19,8;19,6
4;19,9;19,9;20,0;20,1;20,0;20,0;20,0;19,7;19,8;19,6
5;19,6;19,7;19,8;20,0;20,0;20,0;20,0;19,8;19,8;19,8
6;19,8;19,8;19,8;20,0;20,0;20,0;19,8;19,6;19,7;19,7
7;19,5;19,7;19,8;19,9;20,0;20,0;19,8;20,0;19,7;19,6
8;19,5;19,8;19,8;20,0;20,1;20,0;20,0;19,8;19,6;19,5
9;19,7;20,1;19,9;20,0;19,8;20,0;20,0;19,8;19,8;19,6
10;19,8;19,9;20,1;19,9;19,8;20,0;20,0;20,0;19,9;19,6
11;19,8;19,8;19,8;19,8;19,9;20,0;20,0;19,9;19,5;19,8
12;19,8;19,8;19,8;19,7;19,8;19,7;19,7;19,7;19,6;19,5
