Index;A;B;C;D;E;F;G;H;I;J
1;10,9;10,9;11,0;10,9;10,9;10,9;10,8;10,8;10,7;10,8
2;10,3;10,3;10,9;10,9;10,9;10,9;10,9;10,7;10,7;10,7
3;10,5;10,5;10,6;10,6;10,6;10,6;10,7;10,8;10,8;10,8
4;10,6;10,5;10,6;10,6;10,6;10,7;10,9;11,0;11,0;10,8
5;10,8;10,4;10,6;10,9;11,1;10,9;10,7;10,8;11,1;11,2
6;10,5;10,6;10,6;10,8;11,2;11,0;11,2;11,0;11,1;11,3
7;10,5;10,5;10,8;10,9;11,3;11,1;11,1;11,2;11,0;11,0
8;10,7;10,6;10,7;10,7;11,2;11,2;11,1;11,2;11,0;11,0
9;10,5;10,7;11,0;11,3;11,1;11,3;11,3;11,2;11,0;11,0
10;10,5;10,5;10,7;11,1;11,3;11,2;11,2;11,3;10,7;11,0
11;10,5;10,5;10,7;10,9;11,5;11,5;11,1;11,1;11,1;11,3
12;10,8;10,7;11,2;11,7;11,9;11,9;11,7;11,5;11,3;11,2
