Index;A;B;C;D;E;F;G;H;I;J
1;20,2;20,3;20,7;21,2;20,6;20,3;20,0;19,9;19,5;19,1
2;19,7;19,8;19,8;20,4;20,0;20,2;20,0;19,6;19,4;19,2
3;19,7;19,9;20,0;20,3;20,1;20,2;20,0;19,6;19,6;19,3
4;19,9;19,9;20,0;20,1;20,1;20,0;20,0;19,7;19,6;19,2
5;19,4;19,9;19,8;20,1;20,2;20,1;20,0;19,8;19,6;19,4
6;19,3;19,6;19,6;20,0;20,0;20,0;19,8;19,6;19,4;19,7
7;19,4;19,6;19,9;20,0;20,0;20,0;19,8;19,9;19,5;19,6
8;19,8;19,9;19,8;20,3;20,2;20,1;19,9;19,8;19,6;19,2
9;19,7;20,1;19,9;20,2;20,2;20,0;20,1;19,8;19,6;19,1
10;20,0;20,1;20,1;20,3;20,3;20,3;20,1;19,9;19,4;18,9
11;19,8;19,8;20,4;20,5;20,4;20,3;20,1;19,8;19,5;18,9
12;20,1;20,1;20,3;20,4;20,5;20,3;20,2;19,8;19,5;18,9
